Clint Eastwood by Gorillaz (2001), Count: 4
Complicated by Avril Lavigne (2002), Count: 4
Without Me by Eminem (2002), Count: 4
Boulevard of Broken Dreams by Green Day (2004), Count: 4
Mr. Brightside by The Killers (2004), Count: 4
Hide and Seek by Imogen Heap (2005), Count: 4
Stronger by Kanye West (2007), Count: 4
Dog Days Are Over by Florence + The Machine (2008), Count: 4
Heartless by Kanye West (2008), Count: 4
The Duck Song by Bryant Oden (2009), Count: 4
Fireflies by Owl City (2009), Count: 4
Judas by Lady Gaga (2011), Count: 4
Pompeii by Bastille (2013), Count: 4
Story of My Life by One Direction (2013), Count: 4
Riptide by Vance Joy (2013), Count: 4
A Sky Full of Stars by Coldplay (2014), Count: 4
Gooey by Glass Animals (2014), Count: 4
Maps by Maroon 5 (2014), Count: 4
Faded by Alan Walker (2015), Count: 4
24K Magic by Bruno Mars (2016), Count: 4
Die For You by The Weeknd (2016), Count: 4
Passionfruit by Drake (2017), Count: 4
The Way Life Goes by Lil Uzi Vert (2017), Count: 4
Lucid Dreams by Juice WRLD (2018), Count: 4
Happier by Marshmello ft. Bastille (2018), Count: 4
Sunflower by Post Malone (2018), Count: 4
Sicko Mode by Travis Scott (2018), Count: 4
I Love You 3000 by Stephanie Poetri (2019), Count: 4
After Hours by The Weeknd (2020), Count: 4
End of Beginning by Djo (2022), Count: 4
My Eyes by Travis Scott (2023), Count: 4
Feel It by D4vd (2024), Count: 4
Saturn by SZA (2024), Count: 4
Great Balls of Fire by Jerry Lee Lewis (1957), Count: 3
A Change Is Gonna Come by Sam Cooke (1964), Count: 3
House Of The Rising Sun by The Animals (1964), Count: 3
The Sound of Silence by Simon & Garfunkel (1965), Count: 3
In My Life by The Beatles (1965), Count: 3
My Girl by The Temptations (1965), Count: 3
Can't Take My Eyes off You by Frankie Valli (1967), Count: 3
Purple Haze by Jimi Hendrix (1967), Count: 3
Set the Controls for the Heart of the Sun by Pink Floyd (1968), Count: 3
Fortunate Son by Creedence Clearwater Revival (1969), Count: 3
Suspicious Minds by Elvis Presley (1969), Count: 3
Iron Man by Black Sabbath (1970), Count: 3
Paranoid by Black Sabbath (1970), Count: 3
War Pigs by Black Sabbath (1970), Count: 3
The Man Who Sold The World by David Bowie (1970), Count: 3
Black Dog by Led Zeppelin (1971), Count: 3
Starship Trooper by Yes (1971), Count: 3
Ventura Highway by America (1972), Count: 3
Smoke on the Water by Deep Purple (1972), Count: 3
Tudo O Que Você Podia Ser by Milton Nascimento (1972), Count: 3
Killer Queen by Queen (1974), Count: 3
Landslide by Fleetwood Mac (1975), Count: 3
Wish You Were Here by Pink Floyd (1975), Count: 3
Carry On Wayward Son by Kansas (1976), Count: 3
Cherry Bomb by The Runaways (1976), Count: 3
How Deep Is Your Love by Bee Gees (1977), Count: 3
Lumiar by Beto Guedes (1977), Count: 3
Heroes by David Bowie (1977), Count: 3
Mr. Blue Sky by Electric Light Orchestra (1977), Count: 3
Psycho Killer by Talking Heads (1977), Count: 3
I Was Made For Lovin' You by KISS (1979), Count: 3
Stay With Me by Miki Matsubara (1979), Count: 3
Comfortably Numb by Pink Floyd (1979), Count: 3
Message In A Bottle by The Police (1979), Count: 3
Another One Bites the Dust by Queen (1980), Count: 3
Once in a Lifetime by Talking Heads (1980), Count: 3
Fly-day Chinatown by Yasuha (1981), Count: 3
Major Tom by Peter Shilling (1982), Count: 3
Master of Puppets by Metallica (1986), Count: 3
Like a Prayer by Madonna (1989), Count: 3
Man on the Moon by REM (1992), Count: 3
Wrong Tube by Swirlies (1993), Count: 3
Black Hole Sun by Soundgarden (1994), Count: 3
In the Meantime by Spacehog (1994), Count: 3
Zombie by The Cranberries (1994), Count: 3
Wannabe by Spice Girls (1996), Count: 3
Lovefool by The Cardigans (1996), Count: 3
Around the World by Daft Punk (1997), Count: 3
Be Quiet and Drive (Far Away) by Deftones (1997), Count: 3
Everlong by Foo Fighters (1997), Count: 3
No Surprises by Radiohead (1997), Count: 3
In The End by Linkin Park (2000), Count: 3
Can't Stop by Red Hot Chili Peppers (2002), Count: 3
Toxic by Britney Spears (2004), Count: 3
Mockingbird by Eminem (2004), Count: 3
Holiday by Green Day (2004), Count: 3
Supermassive Black Hole by Muse (2006), Count: 3
Good Morning by Kanye West (2007), Count: 3
Electric Feel by MGMT (2007), Count: 3
We Are The People by Empire Of The Sun (2008), Count: 3
You Belong With Me by Taylor Swift (2008), Count: 3
Monster by Skillet (2009), Count: 3
Hey, Soul Sister by Train (2009), Count: 3
Grenade by Bruno Mars (2010), Count: 3
Runaway by Kanye West ft. Pusha T (2010), Count: 3
Les by Childish Gambino (2011), Count: 3
Titanium by David Guetta ft. Sia (2011), Count: 3
Somebody That I Used to Know by Gotye (2011), Count: 3
Glad You Came by The Wanted (2011), Count: 3
Taro by alt-J (2012), Count: 3
Locked Out Of Heaven by Bruno Mars (2012), Count: 3
Genesis by Grimes (2012), Count: 3
Best Day of My Life by American Authors (2013), Count: 3
I Wanna Be Yours by Arctic Monkeys (2013), Count: 3
Growl by EXO (2013), Count: 3
Ribs by Lorde (2013), Count: 3
Rude by MAGIC! (2013), Count: 3
Classic by MKTO (2013), Count: 3
Happy by Pharrell Williams (2013), Count: 3
What Does the Fox Say? by Ylvis (2013), Count: 3
Two Weeks by FKA twigs (2014), Count: 3
Chandelier by Sia (2014), Count: 3
Muộn Rồi Mà Sao Còn by Sơn Tùng M-TP (2014), Count: 3
Sorry by Justin Bieber (2015), Count: 3
The Night We Met by Lord Huron (2015), Count: 3
Sugar by Maroon 5 (2015), Count: 3
Let It Happen by Tame Impala (2015), Count: 3
See You Again by Wiz Khalifa ft. Charlie Puth (2015), Count: 3
Ivy by Frank Ocean (2016), Count: 3
Can't Stop the Feeling! by Justin Timberlake (2016), Count: 3
Shelter by Porter Robinson & Madeon (2016), Count: 3
Treat You Better by Shawn Mendes (2016), Count: 3
Nơi Này Có Anh by Sơn Tùng M-TP (2016), Count: 3
Phía Sau Một Cô Gái by Soobin Hoàng Sơn (2016), Count: 3
Starboy by The Weeknd ft. Daft Punk (2016), Count: 3
Ghen by Min & Erik (2017), Count: 3
Lạc Trôi by Sơn Tùng M-TP (2017), Count: 3
Đừng Như Thói Quen by Jaykii (2018), Count: 3
Thằng Điên by JustaTee & Phương Ly (2018), Count: 3
Shallow by Lady Gaga & Bradley Cooper (2018), Count: 3
Crab Rave by Noisestorm (2018), Count: 3
Ở Trong Đây by Sơn Tùng M-TP (2018), Count: 3
Kẻ Cắp Gặp Bà Già by Tóc Tiên (2018), Count: 3
Quăng Tao Cái Boong by Binz (2019), Count: 3
Em Gì Ơi by Jack & K-ICM (2019), Count: 3
Sóng Gió by Jack & K-ICM (2019), Count: 3
Someone You Loved by Lewis Capaldi (2019), Count: 3
Memories by Maroon 5 (2019), Count: 3
Joker by Sơn Tùng M-TP (2019), Count: 3
Hãy Trao Cho Anh by Sơn Tùng M-TP & Snoop Dogg (2019), Count: 3
Cruel Summer by Taylor Swift (2019), Count: 3
Bước Qua Mùa Cô Đơn by Vũ (2019), Count: 3
I Really Want to Stay at Your House by Rosa Walton (2020), Count: 3
Save Your Tears by The Weeknd (2020), Count: 3
Rap Việt by Various Artists (2020), Count: 3
Anti-Hero by Taylor Swift (2022), Count: 3
Water by Tyla (2023), Count: 3
Good Luck, Babe! by Chappell Roan (2024), Count: 3
Thick Of It by KSI (2024), Count: 3
Die With a Smile by Lady Gaga, Bruno Mars (2024), Count: 3
Cry For Me by The Weeknd (2025), Count: 3
Blue by Yung Kai (2025), Count: 3
Rock Around the Clock by Bill Haley & His Comets (1954), Count: 2
La Bamba by Ritchie Valens (1958), Count: 2
Take Five by Dave Brubeck (1959), Count: 2
So What by Miles Davis (1959), Count: 2
What'd I Say by Ray Charles (1959), Count: 2
Giant Steps by John Coltrane (1960), Count: 2
Georgia on My Mind by Ray Charles (1960), Count: 2
Blowin' in the Wind by Bob Dylan (1963), Count: 2
Twist and Shout by The Beatles (1963), Count: 2
Be My Baby by The Ronettes (1963), Count: 2
Help! by The Beatles (1965), Count: 2
(I Can't Get No) Satisfaction by The Rolling Stones (1965), Count: 2
Satisfaction by The Rolling Stones (1965), Count: 2
That's Life by Frank Sinatra (1966), Count: 2
Paint It, Black by The Rolling Stones (1966), Count: 2
Astronomy Domine by Pink Floyd (1967), Count: 2
I Am the Walrus by The Beatles (1967), Count: 2
Light My Fire by The Doors (1967), Count: 2
The End by The Doors (1967), Count: 2
Brown Eyed Girl by Van Morrison (1967), Count: 2
Il pescatore by Fabrizio de André (1968), Count: 2
Stoned Soul Picnic by Lauro Nyro (1968), Count: 2
Revolution 9 by The Beatles (1968), Count: 2
In the Court of the Crimson King by King Crimson (1969), Count: 2
The Court of the Crimson King by King Crimson (1969), Count: 2
Green is the Colour by Pink Floyd (1969), Count: 2
Across the Universe by The Beatles (1969), Count: 2
Maxwell's Silver Hammer by The Beatles (1969), Count: 2
Something by The Beatles (1969), Count: 2
I Want You Back by The Jackson 5 (1969), Count: 2
My Pal Foot Foot by The Shaggs (1969), Count: 2
Black Sabbath by Black Sabbath (1970), Count: 2
N.I.B. by Black Sabbath (1970), Count: 2
Your Song by Elton John (1970), Count: 2
Let's Stay Together by Al Green (1971), Count: 2
Tiny Dancer by Elton John (1971), Count: 2
Echoes by Pink Floyd (1971), Count: 2
Lean on Me by Bill Withers (1972), Count: 2
Take It Easy by Eagles (1972), Count: 2
Watcher of the Skies by Genesis (1972), Count: 2
My Song by Labi Siffre (1972), Count: 2
Eu Sou Como Você É by Lô Borges (1972), Count: 2
Reelin' In The Years by Steely Dan (1972), Count: 2
Close to the Edge by Yes (1972), Count: 2
Jolene by Dolly Parton (1973), Count: 2
Bennie And The Jets by Elton John (1973), Count: 2
Brain Damage/Eclipse by Pink Floyd (1973), Count: 2
The Great Gig in the Sky by Pink Floyd (1973), Count: 2
Time by Pink Floyd (1973), Count: 2
Mamma Mia by ABBA (1975), Count: 2
Walk This Way by Aerosmith (1975), Count: 2
Jurubeba by Gil e Jorge (1975), Count: 2
Ma il cielo è sempre piu blu by Rino Gaetano (1975), Count: 2
Dirty Deeds Done Dirt Cheap by AC/DC (1976), Count: 2
I Want You by Marvin Gaye (1976), Count: 2
Movin' Out (Anthony's Song) by Billy Joel (1977), Count: 2
She's Always a Woman by Billy Joel (1977), Count: 2
Obertura 777 - Instrumental by La Maquina De Hacer Pàjaros (1977), Count: 2
We Are the Champions by Queen (1977), Count: 2
Hotel California by The Eagles (1977), Count: 2
Don't Stop Me Now by Queen (1978), Count: 2
A mano a mano by Rino Gaetano (1978), Count: 2
Rock With You by Michael Jackson (1979), Count: 2
Mayonaka no Door (Stay With Me) by Miki Matsubara (1979), Count: 2
London Calling by The Clash (1979), Count: 2
Rudie Can't Fail by The Clash (1979), Count: 2
Boys Don't Cry by The Cure (1979), Count: 2
A Message to You Rudy by The Specials (1979), Count: 2
The Winner Takes It All by ABBA (1980), Count: 2
You Shook Me All Night Long by AC/DC (1980), Count: 2
Whip It by DEVO (1980), Count: 2
Just the Two of Us by Grover Washington (1980), Count: 2
Crazy Train by Ozzy Osbourne (1980), Count: 2
Sports Spootnicks by Lizzy Mercier Descloux (1981), Count: 2
Under Pressure by Queen & David Bowie (1981), Count: 2
YYZ by Rush (1981), Count: 2
Golden Brown by The Stranglers (1981), Count: 2
I Can't Stop the Loneliness by Anri (1983), Count: 2
I'm Still Standing by Elton John (1983), Count: 2
White Lines by Grandmaster Flash and the Furious Five (1983), Count: 2
Pink Houses by John Mellancamp (1983), Count: 2
Beat It by Michael Jackson (1983), Count: 2
Blue Monday by New Order (1983), Count: 2
Take on Me by a-ha (1984), Count: 2
Summer of '69 by Bryan Adams (1984), Count: 2
99 Red Balloons by Nena (1984), Count: 2
I Want to Break Free by Queen (1984), Count: 2
Back to the Old House by The Smiths (1984), Count: 2
Last Christmas by Wham! (1984), Count: 2
Running Up That Hill by Kate Bush (1985), Count: 2
Big Blue Sun by Adrian Belew (1986), Count: 2
Bad by Michael Jackson (1987), Count: 2
The Way You Make Me Feel by Michael Jackson (1987), Count: 2
Smooth Criminal by Michael Jackson (1988), Count: 2
Orange Crush by REM (1988), Count: 2
We Didn't Start The Fire by Billy Joel (1989), Count: 2
Wicked Game by Chris Isaak (1989), Count: 2
Can I Kick It? by A Tribe Called Quest (1990), Count: 2
Cherry-colored Funk by Cocteau Twins (1990), Count: 2
Don Raffae' by Fabrizio de André (1990), Count: 2
Losing My Religion by R.E.M. (1991), Count: 2
Fade Into You by Mazzy Star (1993), Count: 2
Sabotage by Beastie Boys (1994), Count: 2
Lover, You Should've Come Over by Jeff Buckley (1994), Count: 2
All I Want for Christmas Is You by Mariah Carey (1994), Count: 2
Big Poppa by The Notorious B.I.G. (1994), Count: 2
California Love by 2Pac (1995), Count: 2
Shook Ones Pt. II by Mobb Deep (1995), Count: 2
I Wish by Skee-Lo (1995), Count: 2
A Cruel Angel's Thesis by Yoko Takahashi (1995), Count: 2
Don't Look Back In Anger by Oasis (1996), Count: 2
How Much I love you, Baby by Satellite Lovers (1996), Count: 2
Amish Paradise by Weird Al Yankovic (1996), Count: 2
Come to Daddy by Aphex Twin (1997), Count: 2
Barbie Girl by Aqua (1997), Count: 2
Song 2 by Blur (1997), Count: 2
Good Riddance (Time of Your Life) by Green Day (1997), Count: 2
Paranoid Android by Radiohead (1997), Count: 2
Diagonals by Stereolab (1997), Count: 2
Bitter Sweet Symphony by The Verve (1997), Count: 2
In the Aeroplane Over the Sea by Neutral Milk Hotel (1998), Count: 2
Iris by The Goo Goo Dolls (1998), Count: 2
50 special by Lunapop (1999), Count: 2
Niji no Mukouni by Okaasan to Issho (1999), Count: 2
Harness Your Hopes by Pavement (1999), Count: 2
Scar Tissue by Red Hot Chili Peppers (1999), Count: 2
Livin La Vida Loca by Ricky Martin (1999), Count: 2
Livin' La Vida Loca by Ricky Martin (1999), Count: 2
Young Offendors by Life Without Buildings (2000), Count: 2
Last Resort by Papa Roach (2000), Count: 2
Everything in Its Right Place by Radiohead (2000), Count: 2
Lady (Hear Me Tonight) by Modjo (2001), Count: 2
Last Nite by The Strokes (2001), Count: 2
Clocks by Coldplay (2002), Count: 2
In Da Club by 50 Cent (2003), Count: 2
Bring Me to Life by Evanescence (2003), Count: 2
Through the Wire by Kanye West (2003), Count: 2
Faint by Linkin Park (2003), Count: 2
Dsco by Sweet Trip (2003), Count: 2
Reptilia by The Strokes (2003), Count: 2
American Idiot by Green Day (2004), Count: 2
